Duration (in seconds),ConsentQuestion,PCSEItem_01M,PCSEItem_02,PCSEItem_03M,PCSEItem_05,PCSEItem_07,PCSEItem_08,PCSEItem_09,PCSEItem_10,PCSEItem_11M,PCSEItem_12,AttentionCheck,PCSEItem_15,PCSEItem_16,PCSEItem_17,PCSEItem_19M,PCSEItem_20,PCSEItem_21,PCSEItem_22,PCSEItem_23,PCSEItem_24,PCSEItem_25,PCSEItem_26,PCSEItem_27,PCSEItem_28M,ItemFeedback,UpToDate,Impact,Optimism_1,Optimism_2,Optimism_3,Optimism_4,Optimism_5,Optimism_6,Conscientiousness_1,Conscientiousness_2,Conscientiousness_3,Conscientiousness_4,Conscientiousness_5,Conscientiousness_6,EthnicityRace,Gender,PoliticalAffiliation,Age,Education,Residency,Vote
207,1,2,4,2,2,4,4,2,1,4,2,1,4,5,1,4,2,4,2,2,1,4,2,4,4,,5,2,2,2,3,2,2,4,4,1,4,3,4,2,Asian,Woman,liberal,1,3,4,1
363,1,2,4,2,4,4,2,4,2,5,2,1,4,4,2,4,1,5,4,2,4,4,4,4,4,,4,4,1,3,2,3,3,3,3,2,2,3,2,3,Asian (Indian-American),Genderqueer,Democrat,1,3,4,1
401,1,2,4,2,2,4,4,2,4,4,5,1,4,4,4,4,2,4,4,4,2,1,2,3,1,all of these feel like really complex and nuanced issues that come down to much more than agree/disagree but i understand why you chose that framework for this survey… it just made some of the questions hard to answer.,5,4,1,4,2,3,3,2,3,2,3,3,3,2,white,woman,liberal,1,3,4,2
220,1,4,2,4,5,4,2,4,2,4,3,1,2,4,5,5,4,2,4,4,5,3,4,2,1,,4,3,2,2,3,2,2,3,2,3,3,2,3,2,White,Male,Democrat,3,5,7,1
701,1,3,2,4,5,4,3,3,1,5,4,3,3,2,4,4,3,4,3,4,4,2,3,2,4,There was w question with instructions to respond with a specific answer. I wondered about its objective: compliance or defiance. I chose defiance ,5,4,4,1,3,1,1,4,3,1,4,1,4,1,White/Caucasian ,Female ,Democrat ,3,5,7,1
706,1,4,2,4,5,4,2,4,1,5,4,1,2,3,4,4,2,3,2,3,5,2,5,4,2,,4,2,2,2,3,2,2,3,3,2,3,3,3,2,White,Male,Democrat,1,4,7,1
233,1,4,5,4,4,4,4,2,2,3,5,1,4,4,3,4,3,4,2,3,4,2,4,4,4,,4,4,2,2,3,2,2,3,4,1,3,2,4,2,white,woman,left,1,3,4,1
291,1,2,2,3,4,5,4,4,2,5,4,1,3,5,4,3,2,5,2,2,2,2,3,5,2,,4,3,2,2,3,1,1,4,1,2,3,3,3,2,White,Transman,Leftist,1,4,7,1
201,1,2,4,4,4,5,1,4,1,4,4,1,3,4,4,4,2,4,4,2,2,2,4,3,2,,4,3,2,1,3,1,1,3,3,2,3,2,4,1,white ,female,liberal,1,3,7,1
418,1,2,3,4,5,4,4,4,2,5,4,1,4,4,2,4,3,5,4,2,2,2,2,4,4,,5,3,2,2,3,2,2,3,3,2,4,3,3,2,white,female,democrat,1,3,7,1
212,1,3,3,4,4,5,4,4,2,4,3,1,3,5,5,4,2,4,3,2,3,2,4,3,3,,5,3,2,2,2,3,3,3,2,3,3,3,2,3,Asian ,Woman ,Left ,1,3,4,4
322,1,4,3,4,5,5,3,4,1,5,3,1,3,5,4,5,4,5,3,5,2,3,3,2,4,"people can work together to make change and that is important. but Washington is a hard sector to make actual change happen, hence the few progressive policies that we have ",5,4,2,4,2,3,3,2,2,3,4,3,4,2,White,Female,Democrat/Progressive,1,4,7,1
275,1,3,3,3,5,3,5,3,2,3,3,1,5,5,2,3,1,5,5,2,1,2,5,5,1,,4,4,1,4,2,3,4,1,2,3,3,3,3,2,White American,Trans man,Leftist,1,3,4,1
209,1,2,4,3,4,4,4,3,2,4,4,1,4,4,4,4,3,5,4,2,4,4,3,4,2,,4,3,2,3,3,3,2,3,3,3,3,3,3,3,Asian,Female,Liberal,1,3,5,1
282,1,1,4,2,3,4,5,4,2,4,3,1,4,3,1,2,2,4,2,5,4,3,3,4,3,,4,3,3,2,3,2,2,3,3,3,2,3,2,3,Asian (Korean),Male,Democratic,1,3,7,1
